201711,789290,337.687
201711,472603,293.237
201711,905061,861.844
201711,340175,414.799
201711,810398,348.373
201711,379265,575.074
201711,376193,153.719
201711,651347,471.562
201711,905745,484.448
201711,735971,2708.456
201711,851857,233.013
201711,436105,641.74
201711,291514,340.462
201711,559132,158.417
201711,194201,866.678
201711,576298,392.221
201711,437063,311.952
201711,786351,523.303
201711,290854,700.901
201711,924154,1945.626
201711,603972,674.596
201711,209945,155.488
201711,587678,623.988
201711,671482,408.477
201711,978089,890.621
201711,360648,389.423
201711,453752,171.081
201711,649213,119.213
201711,384924,1075.202
201711,219195,358.436
201711,482497,278.203
201711,198427,273.843
201711,732758,412.121
201711,923841,1151.35
201711,354068,727.439
201711,760412,187.775
201711,437598,332.937
201711,725137,143.534
201711,270690,994.369
201711,914348,1173.719
201711,379876,328.567
201711,854079,348.788
201711,741152,1244.257
201711,560265,360.095
201711,612523,343.542
201711,683364,341.711
201711,569154,436.246
201711,743957,1621.299
201711,854548,360.902
201711,221795,712.527
201711,714860,1013.446
201711,597927,829.643
201711,950264,2351.64
201711,736094,635.682
201711,425432,2743.439
201711,289403,574.963
201711,540712,598.842
201711,175962,656.894
201711,281301,548.403
201711,713651,467.916
201711,819061,476.293
201711,580470,1248.717
201711,392593,498.782
201711,527809,171.209
201711,321683,4896.73
201711,291086,596.604
201711,356986,1006.775
201711,628041,1597.264
201711,527765,89.8855
201711,861459,492.733
201711,350259,630.629
201711,125403,187.467
201711,481950,206.428
201711,417803,380.566
201711,308913,320.567
201711,194450,908.179
201711,973106,387.381
201711,412240,276.934
201711,401052,372.4
201711,248352,696.208
201711,651782,140.76
201711,739296,1452.192
201711,963845,719.154
201711,289386,621.625
201711,653436,534.375
201711,501564,221.352
201711,614059,583.553
201711,349023,1146.89
201711,103507,617.774
201711,281792,968.628
201711,249875,189.305
201711,378356,914.993
201711,591790,430.11
201711,178529,325.594
201711,265980,406.935
201711,654134,1151.09
201711,359378,330.936
201711,948936,320.771
201711,395234,423.823
201711,580634,417.59
201711,883691,429.962
201711,206765,3831.22
201711,496459,1031.818
201711,750340,357.039
201711,619401,699.08
201711,169673,356.631
201711,815230,430.531
201711,250658,638.901
201711,409854,4429.652
201711,621073,1511.869
201711,692703,1142.71
201711,516750,350.129
201711,304458,457.081
201711,124140,767.291
201711,890189,2302.66
201711,953842,1446.02
201711,842246,327.799
201711,682651,296.736
201711,136916,195.149
201711,961362,180.536
201711,416749,786.547
201711,526401,880.601
201711,468392,149.609
201711,378536,343.051
201711,693436,110.36
201711,347384,3758.652
201711,302513,714.749
201711,348641,602.83
201711,492952,396.201
201711,510309,173.756
201711,475895,333.84
201711,871642,431.785
201711,714150,540.95
201711,714152,1060.886
201711,186250,342.394
201711,245609,320.634
201711,872180,207.055
201711,961962,326.088
201711,687270,723.428
201711,745137,1755.005
